2025-05-18 19:59:42 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp158.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp158.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp158.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-18 19:59:42.114217 I | etcdmain: etcd Version: 3.1.5
2025-05-18 19:59:42.114274 I | etcdmain: Git SHA: 20490ca
2025-05-18 19:59:42.114281 I | etcdmain: Go Version: go1.7.5
2025-05-18 19:59:42.114286 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-18 19:59:42.114292 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-18 19:59:42.114349 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-18 19:59:42.115355 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-18 19:59:42.117521 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-18 19:59:42.117980 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-18 19:59:44.120302 I | etcdserver: name = hp158.utah.cloudlab.us
2025-05-18 19:59:44.120334 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-18 19:59:44.120348 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-18 19:59:44.120357 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-18 19:59:44.120367 I | etcdserver: heartbeat = 100ms
2025-05-18 19:59:44.120420 I | etcdserver: election = 1000ms
2025-05-18 19:59:44.120433 I | etcdserver: snapshot count = 10000
2025-05-18 19:59:44.120451 I | etcdserver: advertise client URLs = http://hp158.utah.cloudlab.us:2379
2025-05-18 19:59:44.120463 I | etcdserver: initial advertise peer URLs = http://hp158.utah.cloudlab.us:2380
2025-05-18 19:59:44.120493 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-18 19:59:44.121929 I | etcdserver: starting member 399dd9d2fe9451fe in cluster aac2752a141c3276
2025-05-18 19:59:44.121992 I | raft: 399dd9d2fe9451fe became follower at term 0
2025-05-18 19:59:44.122024 I | raft: newRaft 399dd9d2fe9451fe [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-18 19:59:44.122036 I | raft: 399dd9d2fe9451fe became follower at term 1
2025-05-18 19:59:44.125363 I | rafthttp: starting peer a1561573eb12db98...
