2025-05-24 16:00:38 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp158.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp158.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp158.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:00:38.489009 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:00:38.489070 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:00:38.489077 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:00:38.489082 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:00:38.489087 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:00:38.489149 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:00:38.489191 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:00:38.490936 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-24 16:00:38.491395 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-24 16:00:41.492907 I | etcdserver: name = hp158.utah.cloudlab.us
2025-05-24 16:00:41.492939 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:00:41.492953 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:00:41.492963 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:00:41.492973 I | etcdserver: heartbeat = 100ms
2025-05-24 16:00:41.492982 I | etcdserver: election = 1000ms
2025-05-24 16:00:41.492991 I | etcdserver: snapshot count = 10000
2025-05-24 16:00:41.493009 I | etcdserver: advertise client URLs = http://hp158.utah.cloudlab.us:2379
2025-05-24 16:00:41.493020 I | etcdserver: initial advertise peer URLs = http://hp158.utah.cloudlab.us:2380
2025-05-24 16:00:41.493059 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:00:41.494421 I | etcdserver: starting member 399dd9d2fe9451fe in cluster aac2752a141c3276
2025-05-24 16:00:41.494486 I | raft: 399dd9d2fe9451fe became follower at term 0
2025-05-24 16:00:41.494511 I | raft: newRaft 399dd9d2fe9451fe [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:00:41.494523 I | raft: 399dd9d2fe9451fe became follower at term 1
2025-05-24 16:00:41.500922 I | rafthttp: starting peer a1561573eb12db98...
2025-05-24 16:00:41.500968 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-24 16:00:41.502321 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:00:41.505221 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:00:41.507181 I | rafthttp: started peer a1561573eb12db98
2025-05-24 16:00:41.507233 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:00:41.507268 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:00:41.507328 I | rafthttp: added peer a1561573eb12db98
2025-05-24 16:00:41.507357 I | rafthttp: starting peer c89e8ee7e52968ff...
2025-05-24 16:00:41.507400 I | rafthttp: started HTTP pipelining with peer c89e8ee7e52968ff
2025-05-24 16:00:41.507759 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:00:41.508554 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:00:41.509645 I | rafthttp: started peer c89e8ee7e52968ff
2025-05-24 16:00:41.509725 I | rafthttp: added peer c89e8ee7e52968ff
