2025-05-18 20:05:27 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp149.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp149.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp149.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-18 20:05:27.105239 I | etcdmain: etcd Version: 3.1.5
2025-05-18 20:05:27.105299 I | etcdmain: Git SHA: 20490ca
2025-05-18 20:05:27.105306 I | etcdmain: Go Version: go1.7.5
2025-05-18 20:05:27.105311 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-18 20:05:27.105317 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-18 20:05:27.105374 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-18 20:05:27.105426 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-18 20:05:27.107503 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-18 20:05:27.108108 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-18 20:05:27.110665 I | etcdserver: name = hp149.utah.cloudlab.us
2025-05-18 20:05:27.110686 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-18 20:05:27.110695 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-18 20:05:27.110701 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-18 20:05:27.110707 I | etcdserver: heartbeat = 100ms
2025-05-18 20:05:27.110713 I | etcdserver: election = 1000ms
2025-05-18 20:05:27.110718 I | etcdserver: snapshot count = 10000
2025-05-18 20:05:27.110730 I | etcdserver: advertise client URLs = http://hp149.utah.cloudlab.us:2379
2025-05-18 20:05:27.110738 I | etcdserver: initial advertise peer URLs = http://hp149.utah.cloudlab.us:2380
2025-05-18 20:05:27.110768 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-18 20:05:27.111783 I | etcdserver: starting member c89e8ee7e52968ff in cluster aac2752a141c3276
2025-05-18 20:05:27.111817 I | raft: c89e8ee7e52968ff became follower at term 0
2025-05-18 20:05:27.111829 I | raft: newRaft c89e8ee7e52968ff [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-18 20:05:27.111836 I | raft: c89e8ee7e52968ff became follower at term 1
2025-05-18 20:05:27.117734 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-18 20:05:27.117788 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-18 20:05:27.119277 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:05:27.119729 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:05:27.122281 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-18 20:05:27.122316 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-18 20:05:27.122336 I | rafthttp: starting peer a1561573eb12db98...
2025-05-18 20:05:27.122346 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-18 20:05:27.122389 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-18 20:05:27.122494 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-18 20:05:27.123784 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:05:27.123810 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:05:27.123820 I | rafthttp: started peer a1561573eb12db98
2025-05-18 20:05:27.123883 I | rafthttp: added peer a1561573eb12db98
2025-05-18 20:05:27.123907 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-18 20:05:27.123970 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-18 20:05:27.124111 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-18 20:05:27.124196 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-18 20:05:27.124945 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-18 20:05:27.125641 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-18 20:05:27.125908 I | rafthttp: started peer dfe51183133d9fcb
2025-05-18 20:05:27.125939 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-18 20:05:27.125973 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream Message reader)
2025-05-18 20:05:27.126049 I | rafthttp: added peer dfe51183133d9fcb
2025-05-18 20:05:27.126089 I | rafthttp: starting peer fe700c0c32dc3b77...
2025-05-18 20:05:27.126133 I | rafthttp: started HTTP pipelining with peer fe700c0c32dc3b77
2025-05-18 20:05:27.126449 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-18 20:05:27.126637 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-18 20:05:27.129268 I | rafthttp: started peer fe700c0c32dc3b77
2025-05-18 20:05:27.129314 I | rafthttp: added peer fe700c0c32dc3b77
2025-05-18 20:05:27.129327 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-18 20:05:27.129421 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2025-05-18 20:05:27.129612 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-18 20:05:27.129945 I | etcdserver/membership: added member 399dd9d2fe9451fe [http://hp158.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:05:27.130058 I | etcdserver/membership: added member a1561573eb12db98 [http://hp124.utah.cloudlab.us:2380] to cluster aac2752a141c3276
