2025-05-24 16:05:18 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp149.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp149.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp149.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:05:18.567474 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:05:18.567535 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:05:18.567542 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:05:18.567547 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:05:18.567552 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:05:18.567614 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:05:18.567656 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:05:18.569660 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-24 16:05:18.570265 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-24 16:05:21.572234 I | etcdserver: name = hp149.utah.cloudlab.us
2025-05-24 16:05:21.572267 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:05:21.572281 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:05:21.572290 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:05:21.572300 I | etcdserver: heartbeat = 100ms
2025-05-24 16:05:21.572309 I | etcdserver: election = 1000ms
2025-05-24 16:05:21.572319 I | etcdserver: snapshot count = 10000
2025-05-24 16:05:21.572337 I | etcdserver: advertise client URLs = http://hp149.utah.cloudlab.us:2379
2025-05-24 16:05:21.572350 I | etcdserver: initial advertise peer URLs = http://hp149.utah.cloudlab.us:2380
2025-05-24 16:05:21.572381 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:05:21.573677 I | etcdserver: starting member c89e8ee7e52968ff in cluster aac2752a141c3276
2025-05-24 16:05:21.573724 I | raft: c89e8ee7e52968ff became follower at term 0
2025-05-24 16:05:21.573743 I | raft: newRaft c89e8ee7e52968ff [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:05:21.573754 I | raft: c89e8ee7e52968ff became follower at term 1
2025-05-24 16:05:21.579918 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-24 16:05:21.580000 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-24 16:05:21.581508 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:05:21.582144 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:05:21.584619 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-24 16:05:21.584720 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-24 16:05:21.584757 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-24 16:05:21.584809 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-24 16:05:21.584840 I | rafthttp: starting peer a1561573eb12db98...
2025-05-24 16:05:21.584899 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-24 16:05:21.587027 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:05:21.587373 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:05:21.587679 I | rafthttp: started peer a1561573eb12db98
2025-05-24 16:05:21.587739 I | rafthttp: added peer a1561573eb12db98
2025-05-24 16:05:21.587755 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:05:21.587790 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:05:21.587819 I | rafthttp: starting peer dfe51183133d9fcb...
