2025-05-24 16:05:18 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp124.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp124.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp124.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:05:18.575669 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:05:18.575724 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:05:18.575730 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:05:18.575735 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:05:18.575741 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:05:18.575797 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:05:18.575838 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:05:18.577803 I | pkg/netutil: resolving hp124.utah.cloudlab.us:2380 to 128.110.218.163:2380
2025-05-24 16:05:18.578489 I | pkg/netutil: resolving hp124.utah.cloudlab.us:2380 to 128.110.218.163:2380
2025-05-24 16:05:21.594038 I | etcdserver: name = hp124.utah.cloudlab.us
2025-05-24 16:05:21.594070 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:05:21.594083 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:05:21.594094 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:05:21.594104 I | etcdserver: heartbeat = 100ms
2025-05-24 16:05:21.594114 I | etcdserver: election = 1000ms
2025-05-24 16:05:21.594124 I | etcdserver: snapshot count = 10000
2025-05-24 16:05:21.594149 I | etcdserver: advertise client URLs = http://hp124.utah.cloudlab.us:2379
2025-05-24 16:05:21.594163 I | etcdserver: initial advertise peer URLs = http://hp124.utah.cloudlab.us:2380
2025-05-24 16:05:21.594202 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:05:21.595540 I | etcdserver: starting member a1561573eb12db98 in cluster aac2752a141c3276
2025-05-24 16:05:21.595592 I | raft: a1561573eb12db98 became follower at term 0
2025-05-24 16:05:21.595612 I | raft: newRaft a1561573eb12db98 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:05:21.595624 I | raft: a1561573eb12db98 became follower at term 1
2025-05-24 16:05:21.602342 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-24 16:05:21.602409 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-24 16:05:21.603015 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:05:21.604380 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:05:21.606978 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-24 16:05:21.607020 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-24 16:05:21.607043 I | rafthttp: starting peer c89e8ee7e52968ff...
2025-05-24 16:05:21.607068 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-24 16:05:21.607095 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-24 16:05:21.607220 I | rafthttp: started HTTP pipelining with peer c89e8ee7e52968ff
2025-05-24 16:05:21.607597 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:05:21.608083 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:05:21.608673 I | rafthttp: started peer c89e8ee7e52968ff
2025-05-24 16:05:21.608726 I | rafthttp: added peer c89e8ee7e52968ff
2025-05-24 16:05:21.608744 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-24 16:05:21.608755 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-24 16:05:21.608801 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-24 16:05:21.608815 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream Message reader)
2025-05-24 16:05:21.609530 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:05:21.610436 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:05:21.610530 I | rafthttp: peer c89e8ee7e52968ff became active
2025-05-24 16:05:21.610570 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream Message reader)
2025-05-24 16:05:21.611286 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-24 16:05:21.611353 I | rafthttp: started peer dfe51183133d9fcb
2025-05-24 16:05:21.611437 I | rafthttp: added peer dfe51183133d9fcb
2025-05-24 16:05:21.611472 I | rafthttp: starting peer fe700c0c32dc3b77...
2025-05-24 16:05:21.612114 I | rafthttp: started HTTP pipelining with peer fe700c0c32dc3b77
2025-05-24 16:05:21.612159 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream Message reader)
2025-05-24 16:05:21.612298 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-24 16:05:21.614239 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-24 16:05:21.614475 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-24 16:05:21.614853 I | rafthttp: started peer fe700c0c32dc3b77
2025-05-24 16:05:21.614878 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-24 16:05:21.614894 I | rafthttp: peer dfe51183133d9fcb became active
2025-05-24 16:05:21.614915 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream Message reader)
2025-05-24 16:05:21.614922 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-24 16:05:21.614969 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-24 16:05:21.615000 I | rafthttp: added peer fe700c0c32dc3b77
2025-05-24 16:05:21.615027 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2025-05-24 16:05:21.616692 I | etcdserver/membership: added member 399dd9d2fe9451fe [http://hp158.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:05:21.617036 I | etcdserver/membership: added member a1561573eb12db98 [http://hp124.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:05:21.617083 I | rafthttp: peer 399dd9d2fe9451fe became active
2025-05-24 16:05:21.617108 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream Message writer)
2025-05-24 16:05:21.617221 I | etcdserver/membership: added member c89e8ee7e52968ff [http://hp149.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:05:21.617275 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream Message writer)
2025-05-24 16:05:21.617344 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream MsgApp v2 writer)
2025-05-24 16:05:21.617371 I | rafthttp: peer fe700c0c32dc3b77 became active
2025-05-24 16:05:21.617418 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-24 16:05:21.617436 I | etcdserver/membership: added member dfe51183133d9fcb [http://hp159.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:05:21.617498 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-24 16:05:21.617557 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream MsgApp v2 writer)
2025-05-24 16:05:21.617678 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream Message writer)
