2025-05-18 20:02:19 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp124.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp124.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp124.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-18 20:02:19.384748 I | etcdmain: etcd Version: 3.1.5
2025-05-18 20:02:19.384814 I | etcdmain: Git SHA: 20490ca
2025-05-18 20:02:19.384824 I | etcdmain: Go Version: go1.7.5
2025-05-18 20:02:19.384829 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-18 20:02:19.384835 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-18 20:02:19.384896 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-18 20:02:19.384938 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-18 20:02:19.386725 I | pkg/netutil: resolving hp124.utah.cloudlab.us:2380 to 128.110.218.163:2380
2025-05-18 20:02:19.387468 I | pkg/netutil: resolving hp124.utah.cloudlab.us:2380 to 128.110.218.163:2380
2025-05-18 20:02:19.391815 I | etcdserver: name = hp124.utah.cloudlab.us
2025-05-18 20:02:19.391838 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-18 20:02:19.391848 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-18 20:02:19.391854 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-18 20:02:19.391861 I | etcdserver: heartbeat = 100ms
2025-05-18 20:02:19.391867 I | etcdserver: election = 1000ms
2025-05-18 20:02:19.391873 I | etcdserver: snapshot count = 10000
2025-05-18 20:02:19.391899 I | etcdserver: advertise client URLs = http://hp124.utah.cloudlab.us:2379
2025-05-18 20:02:19.391908 I | etcdserver: initial advertise peer URLs = http://hp124.utah.cloudlab.us:2380
2025-05-18 20:02:19.391949 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-18 20:02:19.392980 I | etcdserver: starting member a1561573eb12db98 in cluster aac2752a141c3276
2025-05-18 20:02:19.393016 I | raft: a1561573eb12db98 became follower at term 0
2025-05-18 20:02:19.393030 I | raft: newRaft a1561573eb12db98 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-18 20:02:19.393045 I | raft: a1561573eb12db98 became follower at term 1
2025-05-18 20:02:19.399016 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-18 20:02:19.399068 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-18 20:02:19.400292 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:02:19.400941 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:02:19.403724 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-18 20:02:19.403803 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-18 20:02:19.403819 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-18 20:02:19.403885 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-18 20:02:19.403936 I | rafthttp: starting peer c89e8ee7e52968ff...
2025-05-18 20:02:19.404037 I | rafthttp: started HTTP pipelining with peer c89e8ee7e52968ff
2025-05-18 20:02:19.404752 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-18 20:02:19.405023 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-18 20:02:19.405244 I | rafthttp: started peer c89e8ee7e52968ff
2025-05-18 20:02:19.405291 I | rafthttp: added peer c89e8ee7e52968ff
2025-05-18 20:02:19.405305 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-18 20:02:19.405313 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-18 20:02:19.405326 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-18 20:02:19.405420 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream Message reader)
2025-05-18 20:02:19.405935 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-18 20:02:19.407383 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-18 20:02:19.408300 I | rafthttp: started peer dfe51183133d9fcb
2025-05-18 20:02:19.408343 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-18 20:02:19.408416 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream Message reader)
2025-05-18 20:02:19.408509 I | rafthttp: added peer dfe51183133d9fcb
2025-05-18 20:02:19.408548 I | rafthttp: starting peer fe700c0c32dc3b77...
2025-05-18 20:02:19.408572 I | rafthttp: started HTTP pipelining with peer fe700c0c32dc3b77
2025-05-18 20:02:19.408875 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-18 20:02:19.409071 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-18 20:02:19.409354 I | rafthttp: started peer fe700c0c32dc3b77
2025-05-18 20:02:19.409373 I | rafthttp: added peer fe700c0c32dc3b77
2025-05-18 20:02:19.409380 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-18 20:02:19.409462 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2025-05-18 20:02:19.409477 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-18 20:02:19.409884 I | etcdserver/membership: added member 399dd9d2fe9451fe [http://hp158.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:02:19.410026 I | etcdserver/membership: added member a1561573eb12db98 [http://hp124.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:02:19.410177 I | etcdserver/membership: added member c89e8ee7e52968ff [http://hp149.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:02:19.410266 I | etcdserver/membership: added member dfe51183133d9fcb [http://hp159.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:02:19.410370 I | etcdserver/membership: added member fe700c0c32dc3b77 [http://hp144.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:02:19.428308 I | rafthttp: peer fe700c0c32dc3b77 became active
2025-05-18 20:02:19.428336 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 writer)
2025-05-18 20:02:19.428865 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message writer)
2025-05-18 20:02:19.430247 I | rafthttp: peer dfe51183133d9fcb became active
2025-05-18 20:02:19.430309 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream MsgApp v2 writer)
2025-05-18 20:02:19.430345 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream Message writer)
2025-05-18 20:02:19.431508 I | rafthttp: peer c89e8ee7e52968ff became active
