2025-05-24 16:00:38 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp149.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp149.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp149.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:00:38.474835 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:00:38.474889 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:00:38.474895 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:00:38.474901 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:00:38.474906 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:00:38.474966 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:00:38.475015 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:00:38.477055 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-24 16:00:38.477801 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-24 16:00:41.479758 I | etcdserver: name = hp149.utah.cloudlab.us
2025-05-24 16:00:41.479790 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:00:41.479803 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:00:41.479813 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:00:41.479823 I | etcdserver: heartbeat = 100ms
2025-05-24 16:00:41.479832 I | etcdserver: election = 1000ms
2025-05-24 16:00:41.479841 I | etcdserver: snapshot count = 10000
2025-05-24 16:00:41.479883 I | etcdserver: advertise client URLs = http://hp149.utah.cloudlab.us:2379
2025-05-24 16:00:41.479899 I | etcdserver: initial advertise peer URLs = http://hp149.utah.cloudlab.us:2380
2025-05-24 16:00:41.479940 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:00:41.481381 I | etcdserver: starting member c89e8ee7e52968ff in cluster aac2752a141c3276
2025-05-24 16:00:41.481448 I | raft: c89e8ee7e52968ff became follower at term 0
2025-05-24 16:00:41.481469 I | raft: newRaft c89e8ee7e52968ff [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:00:41.481481 I | raft: c89e8ee7e52968ff became follower at term 1
2025-05-24 16:00:41.487865 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-24 16:00:41.487951 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-24 16:00:41.489928 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:00:41.490074 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:00:41.495350 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-24 16:00:41.495405 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-24 16:00:41.495430 I | rafthttp: starting peer a1561573eb12db98...
2025-05-24 16:00:41.495442 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-24 16:00:41.495485 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-24 16:00:41.495562 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-24 16:00:41.496169 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:00:41.496491 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:00:41.498771 I | rafthttp: started peer a1561573eb12db98
2025-05-24 16:00:41.498847 I | rafthttp: added peer a1561573eb12db98
2025-05-24 16:00:41.498883 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-24 16:00:41.498950 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:00:41.499047 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:00:41.499132 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-24 16:00:41.499587 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:00:41.499758 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:00:41.501069 I | rafthttp: started peer dfe51183133d9fcb
2025-05-24 16:00:41.501107 I | rafthttp: added peer dfe51183133d9fcb
2025-05-24 16:00:41.501126 I | rafthttp: starting peer fe700c0c32dc3b77...
2025-05-24 16:00:41.501144 I | rafthttp: started HTTP pipelining with peer fe700c0c32dc3b77
2025-05-24 16:00:41.501154 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-24 16:00:41.501221 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream Message reader)
2025-05-24 16:00:41.501557 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-24 16:00:41.501777 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-24 16:00:41.502124 I | rafthttp: started peer fe700c0c32dc3b77
2025-05-24 16:00:41.502158 I | rafthttp: added peer fe700c0c32dc3b77
2025-05-24 16:00:41.502176 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2025-05-24 16:00:41.502259 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-24 16:00:41.502282 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-24 16:00:41.505081 I | rafthttp: peer fe700c0c32dc3b77 became active
2025-05-24 16:00:41.505124 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-24 16:00:41.505184 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-24 16:00:41.505374 I | etcdserver/membership: added member 399dd9d2fe9451fe [http://hp158.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:00:41.505607 I | etcdserver/membership: added member a1561573eb12db98 [http://hp124.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:00:41.505736 I | etcdserver/membership: added member c89e8ee7e52968ff [http://hp149.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:00:41.505851 I | etcdserver/membership: added member dfe51183133d9fcb [http://hp159.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:00:41.506016 I | etcdserver/membership: added member fe700c0c32dc3b77 [http://hp144.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:00:41.506040 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 writer)
2025-05-24 16:00:41.506098 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message writer)
2025-05-24 16:00:41.508715 I | rafthttp: peer 399dd9d2fe9451fe became active
2025-05-24 16:00:41.508737 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream Message writer)
2025-05-24 16:00:41.508843 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream MsgApp v2 writer)
2025-05-24 16:00:41.515343 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
