2025-05-24 16:03:10 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp144.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp144.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp144.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:03:10.219387 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:03:10.219442 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:03:10.219449 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:03:10.219454 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:03:10.219460 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:03:10.219515 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:03:10.219556 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:03:10.221412 I | pkg/netutil: resolving hp144.utah.cloudlab.us:2380 to 128.110.218.183:2380
2025-05-24 16:03:10.221951 I | pkg/netutil: resolving hp144.utah.cloudlab.us:2380 to 128.110.218.183:2380
2025-05-24 16:03:14.214293 I | etcdserver: name = hp144.utah.cloudlab.us
2025-05-24 16:03:14.214323 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:03:14.214336 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:03:14.214346 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:03:14.214356 I | etcdserver: heartbeat = 100ms
2025-05-24 16:03:14.214365 I | etcdserver: election = 1000ms
2025-05-24 16:03:14.214375 I | etcdserver: snapshot count = 10000
2025-05-24 16:03:14.214392 I | etcdserver: advertise client URLs = http://hp144.utah.cloudlab.us:2379
2025-05-24 16:03:14.214404 I | etcdserver: initial advertise peer URLs = http://hp144.utah.cloudlab.us:2380
2025-05-24 16:03:14.214441 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:03:14.215866 I | etcdserver: starting member fe700c0c32dc3b77 in cluster aac2752a141c3276
2025-05-24 16:03:14.215929 I | raft: fe700c0c32dc3b77 became follower at term 0
2025-05-24 16:03:14.215950 I | raft: newRaft fe700c0c32dc3b77 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:03:14.215962 I | raft: fe700c0c32dc3b77 became follower at term 1
2025-05-24 16:03:14.222609 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-24 16:03:14.222662 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-24 16:03:14.223988 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:03:14.224597 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:03:14.227404 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-24 16:03:14.227446 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-24 16:03:14.227469 I | rafthttp: starting peer a1561573eb12db98...
