2025-05-18 20:05:27 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp158.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp158.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp158.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-18 20:05:27.103525 I | etcdmain: etcd Version: 3.1.5
2025-05-18 20:05:27.103587 I | etcdmain: Git SHA: 20490ca
2025-05-18 20:05:27.103597 I | etcdmain: Go Version: go1.7.5
2025-05-18 20:05:27.103603 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-18 20:05:27.103609 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-18 20:05:27.103665 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-18 20:05:27.103708 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-18 20:05:27.105534 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-18 20:05:27.106338 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-18 20:05:27.110423 I | etcdserver: name = hp158.utah.cloudlab.us
2025-05-18 20:05:27.110446 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-18 20:05:27.110455 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-18 20:05:27.110461 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-18 20:05:27.110468 I | etcdserver: heartbeat = 100ms
2025-05-18 20:05:27.110474 I | etcdserver: election = 1000ms
2025-05-18 20:05:27.110480 I | etcdserver: snapshot count = 10000
2025-05-18 20:05:27.110492 I | etcdserver: advertise client URLs = http://hp158.utah.cloudlab.us:2379
2025-05-18 20:05:27.110500 I | etcdserver: initial advertise peer URLs = http://hp158.utah.cloudlab.us:2380
2025-05-18 20:05:27.110520 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-18 20:05:27.111477 I | etcdserver: starting member 399dd9d2fe9451fe in cluster aac2752a141c3276
2025-05-18 20:05:27.111513 I | raft: 399dd9d2fe9451fe became follower at term 0
2025-05-18 20:05:27.111526 I | raft: newRaft 399dd9d2fe9451fe [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-18 20:05:27.111538 I | raft: 399dd9d2fe9451fe became follower at term 1
2025-05-18 20:05:27.117603 I | rafthttp: starting peer a1561573eb12db98...
2025-05-18 20:05:27.117659 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-18 20:05:27.118272 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:05:27.119604 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:05:27.120511 I | rafthttp: started peer a1561573eb12db98
2025-05-18 20:05:27.120553 I | rafthttp: added peer a1561573eb12db98
2025-05-18 20:05:27.120565 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-18 20:05:27.120619 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-18 20:05:27.120649 I | rafthttp: starting peer c89e8ee7e52968ff...
