2025-05-18 20:02:19 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp144.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp144.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp144.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-18 20:02:19.390225 I | etcdmain: etcd Version: 3.1.5
2025-05-18 20:02:19.390283 I | etcdmain: Git SHA: 20490ca
2025-05-18 20:02:19.390290 I | etcdmain: Go Version: go1.7.5
2025-05-18 20:02:19.390295 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-18 20:02:19.390301 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-18 20:02:19.390356 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-18 20:02:19.390397 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-18 20:02:19.392208 I | pkg/netutil: resolving hp144.utah.cloudlab.us:2380 to 128.110.218.183:2380
2025-05-18 20:02:19.392788 I | pkg/netutil: resolving hp144.utah.cloudlab.us:2380 to 128.110.218.183:2380
2025-05-18 20:02:19.409998 I | etcdserver: name = hp144.utah.cloudlab.us
2025-05-18 20:02:19.410018 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-18 20:02:19.410026 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-18 20:02:19.410031 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-18 20:02:19.410037 I | etcdserver: heartbeat = 100ms
2025-05-18 20:02:19.410042 I | etcdserver: election = 1000ms
2025-05-18 20:02:19.410047 I | etcdserver: snapshot count = 10000
2025-05-18 20:02:19.410058 I | etcdserver: advertise client URLs = http://hp144.utah.cloudlab.us:2379
2025-05-18 20:02:19.410065 I | etcdserver: initial advertise peer URLs = http://hp144.utah.cloudlab.us:2380
2025-05-18 20:02:19.410088 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-18 20:02:19.411122 I | etcdserver: starting member fe700c0c32dc3b77 in cluster aac2752a141c3276
2025-05-18 20:02:19.411161 I | raft: fe700c0c32dc3b77 became follower at term 0
2025-05-18 20:02:19.411174 I | raft: newRaft fe700c0c32dc3b77 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-18 20:02:19.411180 I | raft: fe700c0c32dc3b77 became follower at term 1
2025-05-18 20:02:19.417215 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-18 20:02:19.417265 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-18 20:02:19.418571 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:02:19.421592 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:02:19.423879 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-18 20:02:19.423919 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-18 20:02:19.423942 I | rafthttp: starting peer a1561573eb12db98...
2025-05-18 20:02:19.423952 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-18 20:02:19.424000 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-18 20:02:19.424073 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-18 20:02:19.424532 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:02:19.424753 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:02:19.426488 I | rafthttp: started peer a1561573eb12db98
2025-05-18 20:02:19.426559 I | rafthttp: added peer a1561573eb12db98
2025-05-18 20:02:19.426594 I | rafthttp: starting peer c89e8ee7e52968ff...
2025-05-18 20:02:19.426640 I | rafthttp: started HTTP pipelining with peer c89e8ee7e52968ff
2025-05-18 20:02:19.426668 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-18 20:02:19.426786 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-18 20:02:19.427892 I | rafthttp: peer a1561573eb12db98 became active
2025-05-18 20:02:19.427918 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-18 20:02:19.428141 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream Message reader)
2025-05-18 20:02:19.428684 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-18 20:02:19.429403 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-18 20:02:19.430588 I | rafthttp: started peer c89e8ee7e52968ff
2025-05-18 20:02:19.430658 I | rafthttp: added peer c89e8ee7e52968ff
2025-05-18 20:02:19.430703 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-18 20:02:19.430727 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-18 20:02:19.430771 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream Message reader)
2025-05-18 20:02:19.430908 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-18 20:02:19.431328 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-18 20:02:19.433018 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-18 20:02:19.433495 I | rafthttp: started peer dfe51183133d9fcb
