2025-05-24 16:05:18 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp159.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp159.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp159.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:05:18.567178 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:05:18.567233 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:05:18.567240 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:05:18.567246 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:05:18.567252 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:05:18.567310 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:05:18.567362 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:05:18.569228 I | pkg/netutil: resolving hp159.utah.cloudlab.us:2380 to 128.110.218.198:2380
2025-05-24 16:05:18.569681 I | pkg/netutil: resolving hp159.utah.cloudlab.us:2380 to 128.110.218.198:2380
2025-05-24 16:05:21.571313 I | etcdserver: name = hp159.utah.cloudlab.us
2025-05-24 16:05:21.571346 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:05:21.571360 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:05:21.571371 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:05:21.571381 I | etcdserver: heartbeat = 100ms
2025-05-24 16:05:21.571391 I | etcdserver: election = 1000ms
2025-05-24 16:05:21.571414 I | etcdserver: snapshot count = 10000
2025-05-24 16:05:21.571459 I | etcdserver: advertise client URLs = http://hp159.utah.cloudlab.us:2379
2025-05-24 16:05:21.571475 I | etcdserver: initial advertise peer URLs = http://hp159.utah.cloudlab.us:2380
2025-05-24 16:05:21.571508 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:05:21.573021 I | etcdserver: starting member dfe51183133d9fcb in cluster aac2752a141c3276
2025-05-24 16:05:21.573086 I | raft: dfe51183133d9fcb became follower at term 0
2025-05-24 16:05:21.573108 I | raft: newRaft dfe51183133d9fcb [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:05:21.573121 I | raft: dfe51183133d9fcb became follower at term 1
2025-05-24 16:05:21.579080 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-24 16:05:21.579133 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-24 16:05:21.580464 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:05:21.581163 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:05:21.584078 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-24 16:05:21.584195 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-24 16:05:21.584323 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-24 16:05:21.584385 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-24 16:05:21.584419 I | rafthttp: starting peer a1561573eb12db98...
2025-05-24 16:05:21.584467 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-24 16:05:21.584795 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:05:21.585345 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
