2025-05-18 20:05:27 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp159.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp159.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp159.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-18 20:05:27.115016 I | etcdmain: etcd Version: 3.1.5
2025-05-18 20:05:27.115087 I | etcdmain: Git SHA: 20490ca
2025-05-18 20:05:27.115094 I | etcdmain: Go Version: go1.7.5
2025-05-18 20:05:27.115104 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-18 20:05:27.115110 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-18 20:05:27.115174 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-18 20:05:27.115225 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-18 20:05:27.117265 I | pkg/netutil: resolving hp159.utah.cloudlab.us:2380 to 128.110.218.198:2380
2025-05-18 20:05:27.117890 I | pkg/netutil: resolving hp159.utah.cloudlab.us:2380 to 128.110.218.198:2380
2025-05-18 20:05:27.120865 I | etcdserver: name = hp159.utah.cloudlab.us
2025-05-18 20:05:27.120899 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-18 20:05:27.120914 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-18 20:05:27.120924 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-18 20:05:27.120934 I | etcdserver: heartbeat = 100ms
2025-05-18 20:05:27.120943 I | etcdserver: election = 1000ms
2025-05-18 20:05:27.120953 I | etcdserver: snapshot count = 10000
2025-05-18 20:05:27.120987 I | etcdserver: advertise client URLs = http://hp159.utah.cloudlab.us:2379
2025-05-18 20:05:27.120995 I | etcdserver: initial advertise peer URLs = http://hp159.utah.cloudlab.us:2380
2025-05-18 20:05:27.121020 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-18 20:05:27.122115 I | etcdserver: starting member dfe51183133d9fcb in cluster aac2752a141c3276
2025-05-18 20:05:27.122154 I | raft: dfe51183133d9fcb became follower at term 0
2025-05-18 20:05:27.122169 I | raft: newRaft dfe51183133d9fcb [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-18 20:05:27.122176 I | raft: dfe51183133d9fcb became follower at term 1
2025-05-18 20:05:27.127912 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-18 20:05:27.127952 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-18 20:05:27.129441 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:05:27.129975 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-18 20:05:27.132305 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-18 20:05:27.132348 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-18 20:05:27.132370 I | rafthttp: starting peer a1561573eb12db98...
2025-05-18 20:05:27.132387 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-18 20:05:27.132436 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-18 20:05:27.132482 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-18 20:05:27.133311 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:05:27.133650 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-18 20:05:27.133770 I | rafthttp: peer 399dd9d2fe9451fe became active
2025-05-18 20:05:27.133847 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-18 20:05:27.135159 I | rafthttp: started peer a1561573eb12db98
2025-05-18 20:05:27.135202 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-18 20:05:27.135226 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-18 20:05:27.135323 I | rafthttp: added peer a1561573eb12db98
2025-05-18 20:05:27.135376 I | rafthttp: starting peer c89e8ee7e52968ff...
2025-05-18 20:05:27.135445 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-18 20:05:27.135500 I | rafthttp: started HTTP pipelining with peer c89e8ee7e52968ff
2025-05-18 20:05:27.137956 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-18 20:05:27.139688 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-18 20:05:27.140097 I | rafthttp: started peer c89e8ee7e52968ff
2025-05-18 20:05:27.140131 I | rafthttp: added peer c89e8ee7e52968ff
2025-05-18 20:05:27.140143 I | rafthttp: starting peer fe700c0c32dc3b77...
2025-05-18 20:05:27.140149 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream Message reader)
2025-05-18 20:05:27.140212 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-18 20:05:27.140236 I | rafthttp: started HTTP pipelining with peer fe700c0c32dc3b77
2025-05-18 20:05:27.140558 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-18 20:05:27.140666 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (writer)
2025-05-18 20:05:27.140893 I | rafthttp: started peer fe700c0c32dc3b77
2025-05-18 20:05:27.140913 I | rafthttp: added peer fe700c0c32dc3b77
2025-05-18 20:05:27.140921 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-18 20:05:27.140977 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2025-05-18 20:05:27.141110 I | rafthttp: started streaming with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-18 20:05:27.142324 I | etcdserver/membership: added member 399dd9d2fe9451fe [http://hp158.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:05:27.142530 I | etcdserver/membership: added member a1561573eb12db98 [http://hp124.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:05:27.142597 I | rafthttp: peer c89e8ee7e52968ff became active
2025-05-18 20:05:27.142645 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream Message writer)
2025-05-18 20:05:27.142930 I | etcdserver/membership: added member c89e8ee7e52968ff [http://hp149.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:05:27.143049 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream Message reader)
2025-05-18 20:05:27.143085 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-18 20:05:27.143206 I | etcdserver/membership: added member dfe51183133d9fcb [http://hp159.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:05:27.143441 I | etcdserver/membership: added member fe700c0c32dc3b77 [http://hp144.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-18 20:05:27.143529 I | rafthttp: peer fe700c0c32dc3b77 became active
2025-05-18 20:05:27.143569 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-18 20:05:27.143948 I | rafthttp: peer a1561573eb12db98 became active
2025-05-18 20:05:27.143972 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream Message reader)
2025-05-18 20:05:27.144077 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-18 20:05:27.144418 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream Message writer)
2025-05-18 20:05:27.145236 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 writer)
2025-05-18 20:05:27.145313 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream Message writer)
2025-05-18 20:05:27.145353 I | rafthttp: established a TCP streaming connection with peer 399dd9d2fe9451fe (stream MsgApp v2 writer)
2025-05-18 20:05:27.145378 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-18 20:05:27.145392 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream MsgApp v2 writer)
2025-05-18 20:05:27.210296 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message writer)
2025-05-18 20:05:27.210521 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 writer)
2025-05-18 20:05:27.313131 I | raft: dfe51183133d9fcb [term: 1] received a MsgVote message with higher term from 399dd9d2fe9451fe [term: 2]
2025-05-18 20:05:27.313175 I | raft: dfe51183133d9fcb became follower at term 2
2025-05-18 20:05:27.313199 I | raft: dfe51183133d9fcb [logterm: 1, index: 5, vote: 0] cast MsgVote for 399dd9d2fe9451fe [logterm: 1, index: 5] at term 2
2025-05-18 20:05:27.314442 I | raft: raft.node: dfe51183133d9fcb elected leader 399dd9d2fe9451fe at term 2
2025-05-18 20:05:27.317081 I | embed: ready to serve client requests
2025-05-18 20:05:27.317206 I | etcdserver: published {Name:hp159.utah.cloudlab.us ClientURLs:[http://hp159.utah.cloudlab.us:2379]} to cluster aac2752a141c3276
2025-05-18 20:05:27.317243 E | etcdmain: forgot to set Type=notify in systemd service file?
2025-05-18 20:05:27.317756 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
2025-05-18 20:05:27.322578 N | etcdserver/membership: set the initial cluster version to 3.1
2025-05-18 20:05:27.322660 I | etcdserver/api: enabled capabilities for version 3.1
2025-05-18 20:05:43.904767 I | etcdserver: start to snapshot (applied: 10002, lastsnap: 0)
2025-05-18 20:05:43.913739 I | etcdserver: saved snapshot at index 10002
2025-05-18 20:05:43.913922 I | etcdserver: compacted raft log at 5002
2025-05-18 20:05:48.773376 W | rafthttp: lost the TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-18 20:05:48.773428 E | rafthttp: failed to read fe700c0c32dc3b77 on stream MsgApp v2 (read tcp 128.110.218.198:52966->128.110.218.183:2380: i/o timeout)
2025-05-18 20:05:48.773443 I | rafthttp: peer fe700c0c32dc3b77 became inactive
2025-05-18 20:05:48.773641 W | rafthttp: lost the TCP streaming connection with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-18 20:05:48.792122 W | rafthttp: lost the TCP streaming connection with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-18 20:05:48.792170 E | rafthttp: failed to read c89e8ee7e52968ff on stream MsgApp v2 (read tcp 128.110.218.198:51790->128.110.218.188:2380: i/o timeout)
2025-05-18 20:05:48.792185 I | rafthttp: peer c89e8ee7e52968ff became inactive
2025-05-18 20:05:48.792870 W | rafthttp: lost the TCP streaming connection with peer c89e8ee7e52968ff (stream Message reader)
